Time,Rate,Error,Fracexp
2019-09-12 01:45:11.229260,2.9258177,1.7105021,1.0
2019-09-12 01:45:12.229260,3.981199,1.9952942,1.0
2019-09-12 01:45:13.229260,2.757396,1.6605408,1.0
2019-09-12 01:45:14.229260,7.053114,2.6557698,1.0
2019-09-12 01:45:15.229260,8.201815,2.863881,1.0
2019-09-12 01:45:16.229260,2.8995614,1.7028098,1.0
2019-09-12 01:45:17.229260,6.862573,2.6196513,1.0
2019-09-12 01:45:18.229260,4.1314926,2.0326073,1.0
2019-09-12 01:45:19.229260,2.6485672,1.6274419,1.0
2019-09-12 01:45:20.229260,3.0004356,1.7321765,1.0
2019-09-12 01:45:21.229260,2.676232,1.6359193,1.0
2019-09-12 01:45:22.229260,8.318245,2.8841367,1.0
2019-09-12 01:45:23.229260,7.08392,2.6615634,1.0
2019-09-12 01:45:24.229260,4.615283,2.148321,1.0
2019-09-12 01:45:25.229260,1.5147533,1.2307532,1.0
2019-09-12 01:45:26.229260,2.9038925,1.7040812,1.0
2019-09-12 01:45:27.229260,1.3665905,1.1690127,1.0
2019-09-12 01:45:28.229260,2.6636765,1.6320773,1.0
2019-09-12 01:45:29.229260,2.60353,1.6135458,1.0
2019-09-12 01:45:30.229260,1.353754,1.1635094,1.0
2019-09-12 01:45:31.229260,5.5612473,2.3582296,1.0
2019-09-12 01:45:32.229260,2.927505,1.7109953,1.0
2019-09-12 01:45:33.229260,2.849107,1.6879297,1.0
2019-09-12 01:45:34.229260,4.2548394,2.0627263,1.0
2019-09-12 01:45:35.229260,7.0223947,2.64998,1.0
2019-09-12 01:45:36.229260,6.804632,2.608569,1.0
2019-09-12 01:45:37.229260,1.3141353,1.1463574,1.0
2019-09-12 01:45:38.229260,0.0,0.0,1.0
2019-09-12 01:45:39.229260,5.7503853,2.3979962,1.0
2019-09-12 01:45:40.229260,1.379139,1.1743674,1.0
2019-09-12 01:45:41.229260,5.7803283,2.4042313,1.0
2019-09-12 01:45:42.229260,6.8399186,2.6153238,1.0
2019-09-12 01:45:43.229260,3.88249,1.9704034,1.0
2019-09-12 01:45:44.229260,4.1409564,2.034934,1.0
2019-09-12 01:45:45.229260,2.8423076,1.6859145,1.0
2019-09-12 01:45:46.229260,5.6486135,2.376681,1.0
2019-09-12 01:45:47.229260,2.776007,1.6661353,1.0
2019-09-12 01:45:48.229260,5.4220285,2.328525,1.0
2019-09-12 01:45:49.229260,6.963537,2.6388514,1.0
2019-09-12 01:45:50.229260,15.398444,3.9240851,1.0
2019-09-12 01:45:51.229260,3.9809418,1.9952297,1.0
2019-09-12 01:45:52.229260,3.878013,1.9692671,1.0
2019-09-12 01:45:53.229260,5.786216,2.4054554,1.0
2019-09-12 01:45:54.229260,12.519505,3.5382912,1.0
2019-09-12 01:45:55.229260,1.4797208,1.2164378,1.0
2019-09-12 01:45:56.229260,9.72512,3.1185124,1.0
2019-09-12 01:45:57.229260,5.5399923,2.3537188,1.0
2019-09-12 01:45:58.229260,2.678593,1.6366408,1.0
2019-09-12 01:45:59.229260,2.9196165,1.7086885,1.0
2019-09-12 01:46:00.229260,2.905903,1.7046709,1.0
2019-09-12 01:46:01.229260,4.3487267,2.08536,1.0
2019-09-12 01:46:02.229260,2.806174,1.6751639,1.0
2019-09-12 01:46:03.229260,2.920001,1.708801,1.0
2019-09-12 01:46:04.229260,6.9404483,2.634473,1.0
2019-09-12 01:46:05.229260,6.928311,2.6321685,1.0
2019-09-12 01:46:06.229260,2.9560404,1.719314,1.0
